[2025-05-16 03:41:11] user: User.User@531dcf1 | command: use db2;

[2025-05-16 03:41:11] user: User.User@531dcf1 | command: use db2;

[2025-05-16 03:41:20] user: User.User@531dcf1 | command: show tables;

[2025-05-16 03:41:39] user: User.User@531dcf1 | command: show tables;

[2025-05-16 03:41:43] user: User.User@531dcf1 | command: show tables;

[2025-05-16 03:42:13] user: User.User@531dcf1 | command: use db2;

[2025-05-16 03:42:13] user: User.User@531dcf1 | command: use db2;

[2025-05-16 03:42:24] user: User.User@531dcf1 | command: show tables;

[2025-05-16 03:43:09] user: User.User@531dcf1 | command: create table sc(name string PRIMARY KEY,age int);

[2025-05-16 03:43:19] user: User.User@531dcf1 | command: show tables;

[2025-05-16 03:43:45] user: User.User@531dcf1 | command: insert into sc (name,age)values('hal',77);

[2025-05-16 03:44:02] user: User.User@531dcf1 | command: insert into sc (name,age)values('jyt',77);

[2025-05-16 03:44:12] user: User.User@531dcf1 | command: select * from sc;

[2025-05-16 03:44:22] user: User.User@531dcf1 | command: select age from sc;

[2025-05-16 03:44:44] user: User.User@531dcf1 | command: update sc set age=55 where name='hal';

[2025-05-16 03:44:53] user: User.User@531dcf1 | command: select * from sc;

[2025-05-16 03:45:03] user: User.User@531dcf1 | command: update sc set age=55 where name='hal';

[2025-05-16 03:49:03] user: User.User@1bff254 | command: select * from sc;

[2025-05-16 03:49:07] user: User.User@1bff254 | command: use db2;

[2025-05-16 03:49:07] user: User.User@1bff254 | command: use db2;

[2025-05-16 03:49:10] user: User.User@1bff254 | command: select * from sc;

[2025-05-16 03:49:15] user: User.User@1bff254 | command: update sc set age=55 where name='hal';

[2025-05-16 03:49:35] user: User.User@1bff254 | command: select * from sc;

[2025-05-16 03:57:02] user: User.User@1bff254 | command: use db2;

[2025-05-16 03:57:02] user: User.User@1bff254 | command: use db2;

[2025-05-16 03:57:06] user: User.User@1bff254 | command: select * from sc;

[2025-05-16 03:57:08] user: User.User@1bff254 | command: update sc set age=55 where name='hal';

[2025-05-16 03:59:09] user: User.User@5af97e8b | command: use DB2;

[2025-05-16 03:59:09] user: User.User@5af97e8b | command: use DB2;

[2025-05-16 03:59:27] user: User.User@5af97e8b | command: show tables;

[2025-05-16 03:59:51] user: User.User@5af97e8b | command: update sc set age=44 where name='hal';

[2025-05-16 04:01:58] user: User.User@5af97e8b | command: desc sc;

[2025-05-16 04:04:11] user: User.User@78eea092 | command: use db2;

[2025-05-16 04:04:11] user: User.User@78eea092 | command: use db2;

[2025-05-16 04:04:14] user: User.User@78eea092 | command: update sc set age=66 where name='hal';

[2025-05-16 04:14:27] user: User.User@2e53b2ca | command: use db2;

[2025-05-16 04:14:27] user: User.User@2e53b2ca | command: use db2;

[2025-05-16 04:14:31] user: User.User@2e53b2ca | command: update sc set age=66 where name='hal';

[2025-05-16 04:19:12] user: User.User@355b1a48 | command: use db2;

[2025-05-16 04:19:12] user: User.User@355b1a48 | command: use db2;

[2025-05-16 04:19:15] user: User.User@355b1a48 | command: update sc set age=9 where name='hal';

[2025-05-16 04:22:17] user: User.User@704e0d9e | command: use db2;

[2025-05-16 04:22:17] user: User.User@704e0d9e | command: use db2;

[2025-05-16 04:22:18] user: User.User@704e0d9e | command: update sc set age=9 where name='hal';

[2025-05-16 04:27:01] user: User.User@29984b20 | command: use db2;

[2025-05-16 04:27:01] user: User.User@29984b20 | command: use db2;

[2025-05-16 04:27:03] user: User.User@29984b20 | command: update sc set age=9 where name='hal';

[2025-05-16 04:27:19] user: User.User@29984b20 | command: select * from sc;

[2025-05-16 04:29:33] user: User.User@29984b20 | command: show databases;

[2025-05-16 04:29:33] user: User.User@29984b20 | command: show databases;

[2025-05-16 04:29:55] user: User.User@29984b20 | command: drop database test;

